trade_date,market,financing_balance,financing_buy,securities_lending_balance,margin_total,source_id
2026-07-29,SSE,1349011533515.0,88529674067.0,14323815729.0,1363335349244.0,sse_margin
2026-07-29,SZSE,12895.06,805.17,78.82,12973.89,szse_margin
2026-07-30,SSE,1336695445485.0,99312754789.0,14255221200.0,1350950666685.0,sse_margin
2026-07-30,SZSE,12762.74,910.66,78.98,12841.72,szse_margin
2026-07-31,SSE,1322212164988.0,101245344382.0,14150466891.0,1336362631879.0,sse_margin
2026-07-31,SZSE,12540.98,917.49,78.55,12619.53,szse_margin
